iter	RMSE
893	0.5200636209
894	0.5200522706
895	0.520038685
896	0.5200315469
897	0.5200159348
898	0.5200054565
899	0.5199967219
900	0.5199879849
901	0.5199843852
902	0.5199796762
903	0.5199718259
904	0.5199661452
905	0.5199589413
906	0.5199474876
907	0.5199383133
908	0.5199293714
909	0.5199186937
910	0.5199068113
911	0.5199021259
912	0.519892882
913	0.5198861446
914	0.5198796557
915	0.5198728912
916	0.5198660439
917	0.5198579813
918	0.5198435157
919	0.5198348827
920	0.5198252234
921	0.5198153164
922	0.5198098704
923	0.5198026157
924	0.5197941019
925	0.5197915175
926	0.5197826115
927	0.5197749097
928	0.5197720248
929	0.5197674312
930	0.5197622571
931	0.5197542323
932	0.5197513387
933	0.5197401439
934	0.5197317503
935	0.5197169105
936	0.5197095927
937	0.5196911863
938	0.5196842864
939	0.5196798413
940	0.5196679675
941	0.5196573492
942	0.5196501237
943	0.5196407206
944	0.5196368483
945	0.5196260506
946	0.5196202472
947	0.5196159098
948	0.5196044257
949	0.5195943405
950	0.5195906745
951	0.5195862762
952	0.5195770811
953	0.5195675892
954	0.5195579316
955	0.5195498161
956	0.519538244
957	0.519533262
958	0.5195268141
959	0.5195240728
960	0.5195149044
961	0.5195057961
962	0.5194982447
963	0.5194899596
964	0.5194844802
965	0.5194700777
966	0.5194556824
967	0.5194467238
968	0.5194428329
969	0.5194337261
970	0.5194241518
971	0.5194145234
972	0.5194019576
973	0.5193936137
974	0.5193848095
975	0.5193770464
976	0.5193736015
977	0.5193681488
978	0.5193615303
979	0.5193503357
980	0.5193400673
981	0.519332071
982	0.5193236744
983	0.5193148217
984	0.5193094064
985	0.5192988334
986	0.5192940495
987	0.5192843273
988	0.5192748526
989	0.5192674602
990	0.5192507808
991	0.5192411795
992	0.519230228
993	0.519223831
994	0.5192162435
995	0.5192106004
996	0.5192006924
997	0.5191907
998	0.51917826
999	0.519174533
